,,,,,,,HR,MRR,COV
"('sss', 0.03)","('r', 3e-07)","('rr', 0.01)","('r', 150)","('nsne', 50)","('lr', 3e-10)","('mi', 40)",0.0138980807412,0.00773840163317,50
"('sss', 0.03)","('r', 3e-07)","('rr', 0.3)","('r', 250)","('nsne', 100)","('lr', 1e-09)","('mi', 40)",0.0154423119347,0.00789168671366,269
"('sss', 0.03)","('r', 1e-06)","('rr', 0.003)","('r', 75)","('nsne', 70)","('lr', 3e-06)","('mi', 40)",0.0158835208471,0.00790140381471,110
"('sss', 0.03)","('r', 1e-06)","('rr', 0.003)","('r', 200)","('nsne', 1)","('lr', 3e-06)","('mi', 40)",0.0141186851974,0.00760980324184,108
"('sss', 0.03)","('r', 1e-06)","('rr', 0.01)","('r', 75)","('nsne', None)","('lr', 1e-09)","('mi', 40)",0.0143392896537,0.00770968803729,136
"('sss', 0.03)","('r', 3e-06)","('rr', 0.01)","('r', 250)","('nsne', 20)","('lr', 3e-08)","('mi', 40)",0.0147804985661,0.00784537728614,48
"('sss', 0.03)","('r', 3e-06)","('rr', 0.03)","('r', 75)","('nsne', 15)","('lr', 3e-09)","('mi', 40)",0.0145598941099,0.00781999026539,53
"('sss', 0.03)","('r', 3e-06)","('rr', 0.3)","('r', 100)","('nsne', 5)","('lr', 1e-10)","('mi', 40)",0.0152217074785,0.00781832697782,94
"('sss', 0.1)","('r', 1e-10)","('rr', 0.001)","('r', 150)","('nsne', None)","('lr', 3e-08)","('mi', 40)",0.0152217074785,0.00754957472363,1204
"('sss', 0.1)","('r', 3e-10)","('rr', 0.001)","('r', 150)","('nsne', 10)","('lr', 1e-07)","('mi', 40)",0.0152217074785,0.00789527591314,804
"('sss', 0.1)","('r', 3e-10)","('rr', 0.001)","('r', 250)","('nsne', 5)","('lr', 1e-08)","('mi', 40)",0.016765938672,0.00778497368504,1187
"('sss', 0.1)","('r', 3e-10)","('rr', 0.1)","('r', 10)","('nsne', 1)","('lr', 3e-08)","('mi', 40)",0.0141186851974,0.0075564029568,763
"('sss', 0.1)","('r', 3e-10)","('rr', 0.1)","('r', 30)","('nsne', 50)","('lr', 1e-06)","('mi', 40)",0.017868960953,0.00839338676863,701
"('sss', 0.1)","('r', 1e-09)","('rr', 0.01)","('r', 20)","('nsne', 50)","('lr', 1e-06)","('mi', 40)",0.0163247297595,0.00814161755591,600
"('sss', 0.1)","('r', 1e-09)","('rr', 0.03)","('r', 1)","('nsne', 100)","('lr', 1e-10)","('mi', 40)",0.0141186851974,0.00766521698024,83
"('sss', 0.1)","('r', 3e-09)","('rr', 0.003)","('r', 50)","('nsne', 70)","('lr', 3e-07)","('mi', 40)",0.0174277520406,0.00848898203299,1014
"('sss', 0.1)","('r', 3e-09)","('rr', 0.01)","('r', 1)","('nsne', 10)","('lr', 3e-09)","('mi', 40)",0.0138980807412,0.00769953322898,51
"('sss', 0.1)","('r', 1e-08)","('rr', 0.01)","('r', 1)","('nsne', None)","('lr', 1e-08)","('mi', 40)",0.0145598941099,0.00783749855557,70
"('sss', 0.1)","('r', 3e-08)","('rr', 0.03)","('r', 50)","('nsne', 30)","('lr', 1e-08)","('mi', 40)",0.016765938672,0.00816735474247,534
"('sss', 0.1)","('r', 3e-08)","('rr', 0.3)","('r', 50)","('nsne', 5)","('lr', 3e-07)","('mi', 40)",0.0163247297595,0.00769568140515,1117
"('sss', 0.1)","('r', 1e-07)","('rr', 0.01)","('r', 30)","('nsne', 100)","('lr', 3e-10)","('mi', 40)",0.0205162144275,0.00912996053631,1694
"('sss', 0.1)","('r', 3e-07)","('rr', 0.003)","('r', 1)","('nsne', 1)","('lr', 3e-07)","('mi', 40)",0.0161041253033,0.00778716222131,81
