,,HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.1$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.5$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),HybridSVD ($\alpha=0.999$),PureSVD+CB,PureSVD+CB,PureSVD+CB
,,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR,COV,HR,MRR
fold,rank,,,,,,,,,,,,
5,10,141.0,0.0491363407681,0.0185576930756,161.0,0.0482419363855,0.0183106005553,159.0,0.0488009391246,0.0180903934048,107.0,0.0446084185813,0.0175259559169
5,15,177.0,0.051092850355,0.0209678378218,229.0,0.0505338476159,0.0208876031826,232.0,0.0508133489854,0.0207045297855,118.0,0.0486332383029,0.0192833318693
5,20,200.0,0.0537760635027,0.0221312289986,280.0,0.054223265694,0.0224428952083,282.0,0.0552853708983,0.0224635916192,139.0,0.0503102465202,0.020591198635
5,30,217.0,0.0559002739113,0.0240020248321,327.0,0.0602045950025,0.0258936058072,363.0,0.0595337917156,0.0258213569215,170.0,0.0509251495332,0.0218273045332
5,50,253.0,0.0544468667896,0.02450029148,399.0,0.0608194980155,0.0283760881698,467.0,0.0635586114372,0.0291975560045,221.0,0.0522108558332,0.0231342839929
5,75,316.0,0.0562915758287,0.0269035817879,476.0,0.0627201073285,0.0296856186341,593.0,0.0669685281458,0.0317296165862,292.0,0.0574654815809,0.0265453098339
5,100,371.0,0.0583598859634,0.0272489878058,560.0,0.0651797193806,0.030195997008,715.0,0.0670244284197,0.0324309875626,354.0,0.0597014925373,0.0280530644441
5,125,438.0,0.0607635977416,0.0279430828735,658.0,0.0657387221197,0.030905087546,843.0,0.0703225445805,0.0332997709863,425.0,0.0608753982895,0.0288999314113
5,150,502.0,0.061769802672,0.0278956563713,754.0,0.068086533624,0.0314127818195,934.0,0.0709933478674,0.0337399856434,479.0,0.0612667002068,0.0298137677938
5,200,637.0,0.0635586114372,0.0278279771111,903.0,0.0684219352675,0.032295961782,1147.0,0.073117558276,0.0344218802545,640.0,0.0648443177372,0.0301631666884
5,300,882.0,0.0658505226676,0.0293956248719,1204.0,0.0700989434848,0.0310438621943,1526.0,0.0726703560847,0.0327617530326,877.0,0.0686455363631,0.031429152614
5,500,1366.0,0.0627760076024,0.0278044856864,1770.0,0.0676952317066,0.0297493493829,2211.0,0.0703784448544,0.0312964560114,1351.0,0.0704343451283,0.0311483868334
5,750,1941.0,0.0633909106155,0.0281576999965,2399.0,0.0635027111633,0.0277061056409,3075.0,0.0649002180111,0.0288849137583,1909.0,0.0707138464978,0.0308719466694
5,1000,2476.0,0.0618257029459,0.0272594136505,3011.0,0.0613785007547,0.0264439573135,3908.0,0.0615462015764,0.027152515468,2445.0,0.0699312426631,0.0301726830446
5,1250,3087.0,0.0610989993851,0.0261258581358,3653.0,0.0601486947286,0.0255255291227,4587.0,0.0595896919895,0.0255521926661,3008.0,0.0698194421153,0.0293213795478
5,1500,3722.0,0.0595896919895,0.0250103592968,4304.0,0.0572977807591,0.0239907782294,5233.0,0.0562915758287,0.0245181041466,3634.0,0.0685337358153,0.0287255314297
5,1750,4256.0,0.0569623791157,0.0242815483843,4914.0,0.0542791659679,0.023010438267,6057.0,0.0526580580245,0.0231997893536,4155.0,0.0661300240371,0.027712028408
5,2000,4788.0,0.055508971994,0.0238931745766,5562.0,0.0516518530941,0.0223944926695,6831.0,0.049807144055,0.0222306738113,4673.0,0.0650679188328,0.0269263855504
5,2500,5893.0,0.0526580580245,0.0225731739022,6915.0,0.0477947341942,0.0211786838946,8844.0,0.0458941248812,0.0206894455846,5697.0,0.0609312985634,0.0259294086017
5,3200,7577.0,0.049192241042,0.0215463169262,8957.0,0.0445525183073,0.019729558024,12308.0,0.0417575046118,0.0190892558786,7163.0,0.0580803845939,0.0248283063016
